"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Atmospheric fraction CO2 since 1765 ,0.471211992,0.427451684,0.416228493,0.407340296,0.399506223,0.392462971,0.386208896,0.380204518,0.375147066,0.371615283,0.367337404,0.363124814,0.358866396,0.354635506,0.350439596,0.34626529,0.342207021,0.341908824,0.339413745,0.337123293,0.334783336,0.332465567,0.330174287,0.315061105,0.336724676,,,,,,
Atmospheric fraction CO2 since 2020 ,0,-0.045890555,-0.039812451,-0.036680398,-0.038452065,-0.043633842,-0.050160374,-0.059478546,-0.06757036,-0.06917797,-0.073566924,-0.080248584,-0.089497739,-0.101060997,-0.114763584,-0.130581921,-0.148069386,-0.149500865,-0.152854633,-0.1570953,-0.162123234,-0.16780339,-0.174032796,-0.239213052,-0.173357641,,,,,,
Permanent C box,150.093,153.9611399,157.1637937,159.8982183,162.2157555,164.1713378,165.847383,167.2230094,168.4547671,169.7809442,170.9067031,171.839095,172.5607357,173.0813186,173.4123848,173.5625911,173.5613768,174.1945363,174.6857348,175.1306143,175.5130618,175.8391442,176.1131391,173.6260575,177.2653637,,,,,,
Slow C box,102.698,104.2119678,105.1511136,105.6892095,105.8665478,105.7315266,105.3620244,104.7319135,103.9958316,103.3927372,102.6215819,101.6899108,100.5805396,99.3038914,97.87218936,96.29464693,94.60152536,93.58705008,92.45680421,91.30850479,90.12543421,88.91354259,87.67691162,83.66082032,85.92177619,,,,,,
Medium C box,39.534,34.96726389,31.09766022,27.78705122,24.86635275,22.24626487,19.91026097,17.74205549,15.86236937,14.47833117,13.14889429,11.86301748,10.58451902,9.316183699,8.063484577,6.828499734,5.638300025,5.406246959,5.05308285,4.711259195,4.358864484,4.003915495,3.651020968,0.087851101,4.381637068,,,,,,
Fast C box,6.1865,2.684764925,2.059389969,1.795710563,1.575846642,1.372157312,1.203170798,1.016726125,0.911428793,0.958752438,0.855827887,0.727432163,0.580611679,0.433233398,0.290229621,0.151258087,0.029768483,0.404522857,0.391332909,0.361231412,0.317151658,0.273609902,0.232464091,-1.554402913,1.98854961,,,,,,
Temp Box 1,0.1477,0.163709603,0.179598896,0.195282871,0.210681512,0.225720098,0.240336177,0.254462271,0.268058229,0.281169859,0.293814414,0.306008534,0.317768264,0.329109078,0.3400459,0.3505923,0.360764067,0.370573245,0.380032993,0.389155757,0.397953541,0.406437923,0.414620067,0.422037294,0.429802335,,,,,,
Temp Box 2,1.099454,1.197220578,1.235704732,1.252824628,1.259827303,1.260170796,1.25535767,1.245537729,1.231941771,1.218830141,1.206185586,1.193991466,1.182231736,1.170890922,1.1599541,1.149369302,1.139235934,1.129426755,1.119967007,1.110844243,1.102046459,1.093562077,1.085379933,1.055797456,1.070197665,,,,,,
Alpha,0.447153591,0.529952047,0.561463136,0.585650642,0.605958421,0.62319109,0.637608994,0.649785797,0.659178032,0.666797609,0.675585909,0.683732386,0.691338334,0.698236962,0.704424791,0.709919051,0.714662165,0.714967911,0.72001193,0.724327078,0.728542661,0.732515305,0.736259042,0.747141282,0.720586547,,,,,,
IFR,43.95913652,45.59686639,46.16847739,46.5910662,46.93590845,47.22184528,47.45659595,47.65180568,47.80052767,47.92002826,48.05660479,48.18203205,48.29813712,48.40262496,48.49569411,48.57782153,48.64833993,48.65287361,48.72745908,48.79095709,48.85271696,48.91067296,48.96507405,49.12203504,48.73593106,,,,,,
cacc,334.9871986,396.2416939,414.4072513,429.4578139,442.6968019,454.3741949,464.5805829,473.9108251,481.7382987,488.0278032,495.2160413,501.8174764,507.9282696,513.4276294,518.326006,522.6569188,526.3599966,526.5986111,530.524162,533.8661624,537.116682,540.1669981,543.0302133,556.150174,530.970056,,,,,,
ccatot,633.5,692.0668305,709.8792088,724.6280035,737.2213045,747.8954815,756.9034221,764.6245296,770.9626955,776.6385683,782.7490486,787.9369319,792.2346756,795.5622565,797.9642943,799.4939147,800.1909673,800.1909673,803.1111168,805.3777721,807.4311941,809.1972103,810.7037491,811.9705001,800.5273826,,,,,,
Share of output net zero emissions,0.109061732,0.095430263,0.083747326,0.073701141,0.065034726,0.057535467,0.051026818,0.047449565,0.044223235,0.041305879,0.038661304,0.036258188,0.034069354,0.032071148,0.030242935,0.028566662,0.027026495,0.02586233,0.024786978,0.023791972,0.022869789,0.022013735,0.021217841,0.020476773,0.019785751,,,,,,
Growth p.c. cons (log),0,-0.28636324,0.010703635,0.019547702,0.025209358,0.033818548,0.047434609,0.067629506,0.05169612,0.081862965,0.047378732,0.032569093,0.02554361,0.022019305,0.020180136,0.019196048,0.018679661,0.018468867,0.018331667,0.018574913,0.01940807,0.021440481,0.02620576,0.038446,-0.009837472,,,,,,
Change interest rate,0,-0.246270729,0.281762129,0.007950308,0.004926865,0.007726869,0.012483243,0.018732984,-0.015589038,0.028206028,-0.03321265,-0.014521938,-0.007127145,-0.003801179,-0.002200454,-0.001388281,-0.000944118,-0.00065396,-0.0005842,-0.00022293,0.000337331,0.001476468,0.004072537,0.011173596,-0.046324085,,,,,,
Precautionary effect,0,-0.000225625,-0.00045125,-0.000676875,-0.0009025,-0.001128125,-0.00135375,-0.001579375,-0.001805,-0.002030625,-0.00225625,-0.002481875,-0.0027075,-0.002933125,-0.00315875,-0.003384375,-0.00361,-0.003835625,-0.00406125,-0.004286875,-0.0045125,-0.004738125,-0.00496375,-0.005189375,-0.005415,,,,,,
Long interest rate(%),0,-0.246270729,-0.105389664,-0.055779207,-0.029742262,-0.012574721,0.000950846,0.013288107,0.020592422,0.02940756,0.033138405,0.034870738,0.03572042,0.036146984,0.036355435,0.03644354,0.036461624,0.036439113,0.036386648,0.036327972,0.03629203,0.036329819,0.036549288,0.037235482,0.035934322,,,,,,
RR1,1,0.878095431,0.771051586,0.677056875,0.594520548,0.522045777,0.458406011,0.402524224,0.353454682,0.310366941,0.272531793,0.239308922,0.210136071,0.184519524,0.162025751,0.142274072,0.124930212,0.109700649,0.096327638,0.084584859,0.074273578,0.06521929,0.05726876,0.050287437,0.044157168,,,,,,
RR,1,0.879086703,0.774539607,0.683968485,0.605354011,0.536987236,0.477419373,0.425420079,0.379942725,0.340095448,0.305116978,0.274356424,0.247256335,0.2233385,0.202191999,0.183463163,0.1668471,0.152080543,0.138935808,0.127215669,0.116749018,0.107387174,0.099000749,0.091476969,0.084717398,,,,,,
Variance pc cons,0,0.0005,0.001,0.0015,0.002,0.0025,0.003,0.0035,0.004,0.0045,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0105,0.011,0.0115,0.012,,,,,,
Growth TFP,0.013655768,0.013550197,0.013445469,0.013341579,0.013238517,0.013136279,0.013034856,0.012934242,0.012834429,0.012735411,0.012637182,0.012539735,0.012443062,0.012347158,0.012252016,0.01215763,0.012063993,0.011971099,0.011878941,0.011787515,0.011696812,0.011606828,0.011517557,0.011428992,0,,,,,,
  yr0     =,2020, emshare0        =,0.2173,  emshare1        =,0.224, emshare2        =,0.2824,   emshare3        =,0.2763,   tau0    =,1000000.0000000000,   tau1    =,394.4,   tau2    =,36.53,   tau3    =,4.304,   teq1    =,0.324,   teq2    =,0.44,   d1      =,236,   d2      =,4.07,IRF0       =,32.4,   irC     =,0.019,   irT     =,4.165
  fco22x  =,3.93,   mat0    =,886.5128014,   res00   =,150.093,   res10   =,102.698,   res20   =,39.534,   res30   =,6.1865,   mateq   =,588,   tbox10  =,0.1477,   tbox20  =,1.099454,   tatm0   =,1.24715,,,,,,,,,,,,
  a2      =,0.003467,   elasmu  =,0.95,   prstp   =,0.001,gsigma1            =,-0.015,    e1     =,37.56,expcost2           =,2.6,   gback   =,-0.012,   limmiu2050      =,1,   limmiu2100      =,1.1,   cprice1         =,6,   gcprice         =,0.025,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: ALTDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,,,,,,
Objective function (2019$),2522.194107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial CO2 GtCO2/yr,37.3362001,31.03184799,24.55046962,21.30765329,18.66573073,15.89488612,12.52218577,8.087025461,5.625004606,3.106063608,0,0,0,0,0,0,0,8.555510876,8.9811041,11.0472234,15.46789219,23.11901146,34.79943251,50.13618546,76.14590036,,,,,,
Atmospheric concentration C (ppm),416.2031931,426.3683981,433.1495242,438.5129059,442.6856403,445.6003674,446.9881896,446.3772277,445.0539949,442.888033,439.5529512,436.8405074,434.4826339,432.3847212,430.4982217,428.7897079,427.2328331,430.4862752,433.2614052,436.898481,442.6513176,452.0613085,466.9842255,489.0074659,523.6630264,,,,,,
Atmospheric concentrations GtC,886.5128014,908.1646879,922.6084865,934.0324896,942.9204138,949.1287826,952.0848438,950.783495,947.9650091,943.3515103,936.2477861,930.4702808,925.4480103,920.9794561,916.9612122,913.3220778,910.0059344,916.9357662,922.846793,930.5937645,942.8473064,962.8905871,994.6764003,1041.585902,1115.402246,,,,,,
Atmospheric temperaturer (deg c above preind) ,1.24715,1.409909761,1.508508674,1.578192647,1.631224701,1.671136583,1.698028352,1.710097744,1.711976106,1.70681828,1.694409942,1.681807225,1.672043254,1.665418666,1.661645032,1.660346009,1.661168948,1.677174715,1.700215536,1.728918401,1.768617386,1.827583559,1.915623868,2.040823777,2.22278734,,,,,,
Total forcings w/m2,2.791838464,2.966949101,3.090379728,3.180902996,3.245144699,3.283318836,3.292873872,3.26846437,3.226797863,3.173761022,3.105913466,3.045827649,2.996396962,2.955585976,2.922056025,2.894757109,2.87281284,2.897522367,2.930537657,2.974916406,3.048529587,3.172051494,3.367988533,3.651704776,4.076168542,,,,,,
"Forcings, exogenous w/m2",-0.054,-0.0340625,-0.014125,0.0058125,0.02575,0.0456875,0.065625,0.0855625,0.1055,0.1254375,0.145375,0.1653125,0.18525,0.2051875,0.225125,0.2450625,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,,,,,,
CO2 forcings w/m2,2.327838464,2.464651501,2.554116463,2.623890355,2.677587018,2.714795652,2.732426774,2.724671768,2.707839376,2.680178614,2.637321791,2.602225591,2.571539654,2.544096583,2.519305096,2.496758683,2.476135008,2.519147754,2.555580761,2.602977985,2.677147405,2.796413977,2.980555594,3.241832504,3.630046764,,,,,,
Actual other abatable GHG forcings w/m2,0.518,0.5363601,0.550388265,0.551200141,0.541807681,0.522835684,0.494822099,0.458230102,0.413458488,0.368144908,0.323216675,0.278289557,0.239607309,0.206301893,0.17762593,0.152935926,0.131677832,0.113374613,0.109956896,0.106938421,0.106382182,0.110637517,0.122432939,0.144872271,0.181121778,,,,,,
Carbon price (2019 $ per t CO2),5.76033287,16.61042901,64.1215648,116.6904736,175.8825109,239.0913993,304.4662957,387.6882283,430.7767936,467.3589676,504.8023168,502.2846047,499.7794498,497.2867894,494.8065612,492.3387031,489.8831536,424.0615813,422.3238851,410.1469887,385.2299082,345.3816159,289.4991061,219.623561,90.76808048,,,,,,
Emissions control rate,0.05,0.1,0.24,0.36,0.48,0.6,0.72,0.84,0.9,0.95,1,1,1,1,1,1,1,0.916626556,0.91713877,0.90333929,0.871356477,0.816422653,0.733440222,0.619072777,0.357484953,,,,,,
Social cost of carbon $/tCO2,2878.741892,3386.755167,3519.953859,4085.479983,4933.877143,6051.384479,7503.407728,9501.600955,11855.27424,14748.20647,18768.44709,23327.85942,28608.40092,34791.12791,42066.5492,50646.39318,60781.35088,437.5109898,438.7420866,429.25421,406.6485453,368.5776951,313.6917849,244.0266962,109.3684702,,,,,,
"Output, net net trill 2019$",132.7872628,124.9938922,125.2439882,137.5715277,157.4921293,184.4809696,219.013776,260.0452104,305.0306644,354.7067841,408.276155,462.113019,517.4951379,575.7732158,637.8529553,704.368042,775.7389249,856.2034057,938.9290957,1026.899386,1119.36262,1213.034769,1298.439726,1347.723883,1245.414834,,,,,,
"Short Interest rate, %/yr",0,-0.003056338,0.008169489,0.030274396,0.038212704,0.041302579,0.043478762,0.047676951,0.044700974,0.044086062,0.048600784,0.043847588,0.04113013,0.039423153,0.038243909,0.037367332,0.036708889,0.036326995,0.035570903,0.035290803,0.035609777,0.037030235,0.0409656,0.051939479,0.004152841,,,,,,
Population,7752.9,8137.367351,8481.170608,8786.618185,9056.484469,9293.783346,9501.598425,9682.961394,9840.769456,9977.73328,10096.34803,10198.88121,10287.37242,10363.64102,10429.29892,10485.76619,10534.2881,10575.95234,10611.70592,10642.37106,10668.66003,10691.18858,10710.48822,10727.01703,10741.16939,,,,,,
TFP,5.84,6.25267666,6.690981812,7.156263364,7.649925133,8.173428357,8.728293215,9.316100334,9.938492304,10.59717519,11.29392004,12.03056437,12.80901367,13.63124285,14.49929775,15.41529653,16.38143116,17.39996876,18.47325304,19.60370563,20.79382742,22.04619987,23.36348625,24.74843292,26.20387049,,,,,,
"Output, gross-gross, 2019$",134.8914365,127.5601688,128.429671,141.8382095,163.4168906,192.804741,230.6751332,276.4671598,325.5171074,379.4796048,437.7693569,493.9970422,551.7162427,612.3991828,677.0210446,746.2586366,820.5589352,900.0851834,986.9981699,1078.85438,1174.896743,1272.048298,1361.294335,1414.985511,1312.028989,,,,,,
"Change TFP, %/year",0.066,0.065506852,0.065017388,0.064531582,0.064049405,0.063570832,0.063095834,0.062624385,0.062156459,0.06169203,0.06123107,0.060773555,0.060319458,0.059868755,0.059421419,0.058977425,0.058536749,0.058099365,0.05766525,0.057234379,0.056806726,0.05638227,0.055960985,0.055542847,0.055127834,,,,,,
"Capital stock, 2019$",295,174.19455,129.0787852,132.2631889,158.2073602,207.2982132,287.5494946,404.8978884,541.7221233,706.1874702,894.5791465,1058.860091,1216.99798,1376.580609,1542.607357,1718.137408,1904.500157,2100.736989,2321.370249,2544.832846,2762.450505,2947.851211,3032.678278,2837.244076,1817.493926,,,,,,
"Savings rate, fraction gross output",0,0.041951883,0.089494846,0.116459083,0.144614654,0.179034155,0.214692237,0.232754888,0.253289927,0.269282985,0.259931933,0.256106909,0.254284697,0.253485315,0.253112628,0.252696643,0.251669385,0.252488149,0.250090648,0.24535065,0.235250273,0.213019717,0.161190059,0.021091809,0,,,,,,
"Gross investment, 2019$",0,5.243729076,11.2086914,16.02145396,22.77566981,33.02839454,47.02055746,60.52679385,77.26119471,95.51650145,106.1240102,118.350337,131.5910943,145.9500547,161.4486379,177.9914397,195.2297382,216.1812128,234.8173857,251.9504315,263.3303624,258.4003232,209.2955759,28.4259344,0,,,,,,
"Y gross-net, 2019$",132.7933578,125.0244697,125.5071274,138.3054565,159.0685403,187.4202878,224.0240764,268.3820594,315.9766496,368.4244963,425.200889,480.0244567,536.2917536,595.4135607,658.3280588,725.6861601,797.9157568,874.7665521,958.4666894,1046.605709,1138.145885,1229.5611,1311.340077,1356.051907,1247.204476,,,,,,
"Consumption per capita, 2019$ ",17.12743138,14.71608175,13.4457025,13.83354451,14.87513835,16.29611639,18.10150365,20.60510297,23.14549393,25.97687024,29.92687494,33.70592076,37.5124014,41.47414601,45.67941919,50.19915499,55.10663667,60.51674332,66.35235801,72.81732139,80.23802948,89.29170395,101.6894962,122.9883336,115.9477882,,,,,,
Consumption,132.7872628,119.7501632,114.0352968,121.5500737,134.7164595,151.4525751,171.9932186,199.5184166,227.7694697,259.1902827,302.1521448,343.7626819,385.9040436,429.8231611,476.4043173,526.3766023,580.5091866,640.0221929,704.11171,774.948954,856.0322576,954.6344456,1089.14415,1319.297949,1245.414834,,,,,,
"Climate damages, fraction of output",0.015553831,0.019878455,0.022755984,0.02490692,0.02660894,0.027926975,0.028833003,0.029244343,0.029308622,0.029132286,0.028710251,0.028284755,0.027957286,0.027736193,0.027610642,0.027567489,0.027594823,0.02812915,0.028907329,0.029891588,0.031280075,0.033400617,0.036696148,0.041649617,0.049407836,,,,,,
"Damages, 2019$",2.098078637,2.535699118,2.922543565,3.532752983,4.348350281,5.384453141,6.651056772,8.085100434,9.540457817,11.05510854,12.56846791,13.97258552,15.42448903,16.98562212,18.69298578,20.57247654,22.64317836,25.31863137,28.53148052,32.24867104,36.75085776,42.48719757,49.95425842,58.93360442,64.82451258,,,,,,
"Abatement, 2019$",0.006095071,0.030577446,0.2631392,0.733928844,1.576411059,2.939318171,5.01030034,8.336848955,10.94598516,13.71771219,16.92473403,17.9114377,18.7966157,19.64034488,20.47510358,21.31811803,22.17683195,18.56314637,19.53759363,19.70632328,18.78326535,16.52633135,12.90035056,8.328023372,1.789641997,,,,,,
Abatement/0utput,0.000045901,0.000244632,0.002101013,0.005334889,0.010009459,0.015932907,0.022876645,0.032059229,0.035884868,0.038673386,0.041454133,0.038759864,0.036322304,0.034111251,0.032100037,0.030265595,0.02858801,0.021680767,0.02080838,0.019190121,0.016780322,0.013623955,0.009935271,0.006179325,0.001436985,,,,,,
"Sigmabase (CO2/output, no controls, industrial CO2)",0.291354769,0.270302489,0.251524817,0.234726654,0.219656829,0.206100821,0.193874786,0.182820662,0.172802119,0.163701214,0.155415605,0.147856233,0.140945382,0.13461505,0.128805578,0.123464495,0.118545535,0.114007807,0.109815086,0.105935208,0.102339552,0.099002593,0.095901523,0.09301592,0.090327459,,,,,,
"Sigmatot,(CO2/output, no controls, all CO2)",0.407896676,0.375213642,0.34616103,0.320255178,0.297085861,0.276303913,0.257611122,0.240751959,0.225506766,0.211686133,0.199126244,0.187685006,0.177238818,0.167679872,0.158913882,0.15085818,0.143440097,0.137949446,0.132876254,0.128181602,0.123830858,0.119793138,0.116040843,0.112549263,0.109296225,,,,,,
"Cost, backstop technology ($/tCO2)",695.1772859,661.2730896,629.0224205,598.344635,569.1630228,541.4046146,515,512.4314268,509.8756644,507.3326489,504.8023168,502.2846047,499.7794498,497.2867894,494.8065612,492.3387031,489.8831536,487.4398512,485.0087348,482.5897436,480.1828173,477.7878955,475.4049184,473.0338265,470.6745604,,,,,,
"Total CO2 Emissions, GTCO2/year",42.9412001,35.81084799,28.18250962,24.06035729,20.67864553,17.28844252,13.4001263,8.538537734,5.87898026,3.220352653,0,0,0,0,0,0,0,8.637546487,9.054482554,11.12426223,15.56016848,23.23752386,34.9543077,50.33537739,76.44828209,,,,,,
"Total CO2e Emissions, GTCO2-E/year",52.4032001,45.08647299,36.27840962,31.09955729,26.57804553,21.96494252,16.7706263,10.51993773,7.15198026,3.874165153,0,0,0,0,0,0,0,9.929834877,10.33883162,12.62250324,17.55414309,26.08297274,39.08598426,56.23974935,86.40726532,,,,,,
"Industrial CO2 Emissions, GTCO2/year",37.3362001,31.03184799,24.55046962,21.30765329,18.66573073,15.89488612,12.52218577,8.087025461,5.625004606,3.106063608,0,0,0,0,0,0,0,8.555510876,8.9811041,11.0472234,15.46789219,23.11901146,34.79943251,50.13618546,76.14590036,,,,,,
"Base abateable non-CO2 emission, GTCO2-E/year",9.96,10.30625,10.6525,10.99875,11.345,11.69125,12.0375,12.38375,12.73,13.07625,13.4225,13.76875,14.115,14.46125,14.8075,15.15375,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,,,,,,
"Land emissions, GtCO2/year",5.9,5.31,4.779,4.3011,3.87099,3.483891,3.1355019,2.82195171,2.539756539,2.285780885,2.057202797,1.851482517,1.666334265,1.499700839,1.349730755,1.214757679,1.093281911,0.98395372,0.885558348,0.797002513,0.717302262,0.645572036,0.581014832,0.522913349,0.470622014,,,,,,
"Cumulative CO2 emissions, GtC ",633.5,692.0668305,740.9086853,779.3463689,812.1619135,840.3651944,863.9446305,882.2208529,893.8664308,901.88468,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,918.0574829,930.4067499,945.578957,966.8012272,998.4945221,1046.168155,1114.819788,,,,,,
Atmospheric fraction CO2 since 1765 ,0.471211992,0.462621049,0.451619057,0.444003461,0.437006961,0.429728386,0.421421497,0.411216182,0.402705586,0.394009915,0.384262022,0.377887033,0.372345382,0.36741471,0.362980917,0.358965439,0.355306355,0.362952839,0.364734012,0.368219342,0.375269881,0.387763868,0.407289562,0.433568825,0.473082957,,,,,,
Atmospheric fraction CO2 since 2020 ,0,0.369695314,0.336059245,0.325820144,0.31572263,0.302689771,0.284545747,0.258404916,0.236021998,0.211780743,0.182328447,0.161148114,0.142736471,0.126354752,0.11162387,0.098282804,0.086125823,0.111530585,0.127685942,0.148467361,0.180513623,0.229155422,0.296343067,0.375781594,0.47554546,,,,,,
Permanent C box,150.093,160.7019354,169.0507321,176.1782183,182.3037709,187.4248692,191.3939236,193.9225602,195.6632121,196.6161522,196.6149455,196.6137451,196.6125508,196.6113627,196.6101811,196.6090063,196.6078386,199.1658858,201.8474741,205.1423247,209.7514961,216.6353968,226.9908695,241.9036089,264.5533501,,,,,,
Slow C box,102.698,111.0106768,117.1024271,122.0150318,125.9646572,128.9446271,130.8020305,131.2418466,130.9243074,129.8478086,127.8429294,125.8792268,123.9552474,122.0704672,120.2244815,118.416833,116.6469875,117.5116126,118.522678,120.1789136,123.190806,128.5304565,137.408715,150.9234089,172.3054432,,,,,,
Medium C box,39.534,42.43756301,43.10132474,42.90701023,42.11386968,40.70628413,38.51201373,35.22206661,31.67324983,27.84595149,23.5396264,19.91671902,16.86544023,14.29399829,12.12565177,10.29601444,8.75105197,10.49897286,12.16326013,14.35362721,17.85146726,23.6588954,32.96910741,46.77786152,68.60235632,,,,,,
Fast C box,6.1865,6.014512616,5.354002578,4.932229344,4.538115987,4.053002262,3.376876015,2.397021657,1.70423969,1.041598125,0.250284751,0.060589867,0.014771858,0.003627963,0.000897937,0.000224043,5.63692E-05,1.759294859,2.313380762,2.918898959,4.05353706,6.065838349,9.30770842,13.98102299,21.94109662,,,,,,
Temp Box 1,0.1477,0.164755795,0.182292404,0.200076236,0.217923597,0.2356561,0.253081766,0.269976334,0.286233723,0.301790062,0.316559451,0.330611105,0.344032442,0.356895224,0.369260614,0.381181362,0.392703157,0.404151247,0.41558359,0.4270777,0.438830847,0.451176592,0.46459437,0.479657921,0.49728873,,,,,,
Temp Box 2,1.099454,1.245153966,1.32621627,1.378116412,1.413301104,1.435480483,1.444946586,1.440121411,1.425742384,1.405028218,1.377850492,1.351196121,1.328010812,1.308523441,1.292384418,1.279164648,1.268465791,1.273023468,1.284631946,1.301840701,1.329786539,1.376406967,1.451029497,1.561165855,1.725498611,,,,,,
Alpha,0.447153591,0.516153807,0.574771461,0.622234991,0.664342768,0.702431181,0.736572809,0.766131667,0.7864129,0.802371094,0.814713584,0.818987161,0.823088377,0.827397883,0.831975838,0.83680922,0.841870558,0.836918029,0.852805933,0.868888853,0.886305682,0.907813926,0.937767675,0.983200766,1.041590157,,,,,,
IFR,43.95913652,45.33841486,46.40264241,47.20613608,47.88163938,48.46577569,48.96962403,49.3918669,49.6745075,49.89302836,50.05976998,50.11705226,50.17180846,50.22911958,50.28974903,50.35348215,50.41991642,50.35491363,50.56240082,50.76939186,50.99019277,51.25818769,51.62311772,52.15909383,52.81884257,,,,,,
cacc,334.9871986,371.9021426,406.3001989,433.3138793,457.2414997,479.2364118,499.8597866,519.4373579,533.9014218,546.5331696,558.0290824,563.8065877,568.8288583,573.2974124,577.3156563,580.9547907,584.2709341,577.3411024,583.2106899,587.8129854,590.7316506,591.9106401,591.8181218,592.5822526,587.4175418,,,,,,
ccatot,633.5,692.0668305,740.9086853,779.3463689,812.1619135,840.3651944,863.9446305,882.2208529,893.8664308,901.88468,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,918.0574829,930.4067499,945.578957,966.8012272,998.4945221,1046.168155,1114.819788,,,,,,
Share of output net zero emissions,0.109061732,0.095430263,0.083747326,0.073701141,0.065034726,0.057535467,0.051026818,0.047449565,0.044223235,0.041305879,0.038661304,0.036258188,0.034069354,0.032071148,0.030242935,0.028566662,0.027026495,0.02586233,0.024786978,0.023791972,0.022869789,0.022013735,0.021217841,0.020476773,0.019785751,,,,,,
Growth p.c. cons (log),0,-0.030348092,-0.018056271,0.005687373,0.01451897,0.018247114,0.021013638,0.025908751,0.023252271,0.023081284,0.028310074,0.023783322,0.021399614,0.020079733,0.019315521,0.018870069,0.018654393,0.018729984,0.018411845,0.018594912,0.019408746,0.021382199,0.026003087,0.038033097,-0.011789903,,,,,,
Change interest rate,0,-0.003056338,0.011225827,0.022104906,0.007938308,0.003089875,0.002176183,0.004198189,-0.002975977,-0.000614912,0.004514722,-0.004753196,-0.002717458,-0.001706977,-0.001179244,-0.000876577,-0.000658443,-0.000381894,-0.000756092,-0.0002801,0.000318974,0.001420458,0.003935365,0.010973878,-0.047786637,,,,,,
Precautionary effect,0,-0.000225625,-0.00045125,-0.000676875,-0.0009025,-0.001128125,-0.00135375,-0.001579375,-0.001805,-0.002030625,-0.00225625,-0.002481875,-0.0027075,-0.002933125,-0.00315875,-0.003384375,-0.00361,-0.003835625,-0.00406125,-0.004286875,-0.0045125,-0.004738125,-0.00496375,-0.005189375,-0.005415,,,,,,
Long interest rate(%),0,-0.003056338,0.002556576,0.011795849,0.018400063,0.022980566,0.026396932,0.029436935,0.03134494,0.03276062,0.034344636,0.035208541,0.035702007,0.035988249,0.036149367,0.036230565,0.03626046,0.036264374,0.036225848,0.036176635,0.036148292,0.036190289,0.036407349,0.037082659,0.035710583,,,,,,
RR1,1,0.878095431,0.771051586,0.677056875,0.594520548,0.522045777,0.458406011,0.402524224,0.353454682,0.310366941,0.272531793,0.239308922,0.210136071,0.184519524,0.162025751,0.142274072,0.124930212,0.109700649,0.096327638,0.084584859,0.074273578,0.06521929,0.05726876,0.050287437,0.044157168,,,,,,
RR,1,0.879086703,0.774539607,0.683968485,0.605354011,0.536987236,0.477419373,0.425420079,0.379942725,0.340095448,0.305116978,0.274356424,0.247256335,0.2233385,0.202191999,0.183463163,0.1668471,0.152080543,0.138935808,0.127215669,0.116749018,0.107387174,0.099000749,0.091476969,0.084717398,,,,,,
Variance pc cons,0,0.0005,0.001,0.0015,0.002,0.0025,0.003,0.0035,0.004,0.0045,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0105,0.011,0.0115,0.012,,,,,,
Growth TFP,0.013655768,0.013550197,0.013445469,0.013341579,0.013238517,0.013136279,0.013034856,0.012934242,0.012834429,0.012735411,0.012637182,0.012539735,0.012443062,0.012347158,0.012252016,0.01215763,0.012063993,0.011971099,0.011878941,0.011787515,0.011696812,0.011606828,0.011517557,0.011428992,0,,,,,,
