"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
"Change TFP, %/year",0.066,0.065506852,0.065017388,0.064531582,0.064049405,0.063570832,0.063095834,0.062624385,0.062156459,0.06169203,0.06123107,0.060773555,0.060319458,0.059868755,0.059421419,0.058977425,0.058536749,0.058099365,0.05766525,0.057234379,0.056806726,0.05638227,0.055960985,0.055542847,0.055127834,,,,,,
"Capital stock, 2019$",295,174.19455,128.3558535,131.5048203,157.5923089,207.26769,289.1527449,409.8510059,551.2727693,721.8682781,917.6810687,1087.829872,1250.790293,1414.549091,1584.214712,1762.495655,1949.516149,2141.285805,2395.824069,2642.437864,2875.704005,3069.963276,3154.951494,2945.649485,1883.368877,,,,,,
"Savings rate, fraction gross output",0,0.04026154,0.087777316,0.114495558,0.142633528,0.177416335,0.2137458,0.232266719,0.25333809,0.269775505,0.260170584,0.256145114,0.254160084,0.253156409,0.25242263,0.251280888,0.248744252,0.253887616,0.250763474,0.245804892,0.235676031,0.213362381,0.161250468,0.020702449,0,,,,,,
"Gross investment, 2019$",0,5.099142726,11.14239448,15.98800552,22.8422015,33.35264933,47.82184032,61.85196976,79.26944411,98.28501384,109.1896756,121.6875263,135.1939863,149.7875237,165.4065419,181.7560179,198.0232029,226.2832428,245.5455419,263.0741742,274.3777636,268.4337759,216.5364354,28.79846251,0,,,,,,
"Y gross-net, 2019$",134.1640326,126.6810419,127.2020351,140.3713174,161.7206574,190.9300476,228.7509687,274.664483,323.9033512,378.1298804,436.7396265,493.1296682,550.8762364,611.481076,675.9154409,744.7998763,818.4243774,895.4374844,983.6975654,1074.864867,1168.615539,1261.946068,1345.791908,1392.903773,1285.391637,,,,,,
"Consumption per capita, 2019$ ",17.30422649,14.93742589,13.65341528,14.07260967,15.16083712,16.63888689,18.51377589,21.11391243,23.74106851,26.66301737,30.75322513,34.64939629,38.56480927,42.63870551,46.97052626,51.64735565,56.77349671,62.87755407,69.13556413,75.84605704,83.40673072,92.56952452,105.1605919,126.9940219,119.634723,,,,,,
Consumption,134.1579375,121.5513218,115.7969444,123.650648,137.3038859,154.6382099,175.9104638,204.445199,233.6303818,266.0364757,310.4952639,353.3850768,396.7305553,441.8922377,489.869659,541.5620959,598.0683705,664.9900149,733.6462749,807.1818826,889.8380539,989.6782434,1126.32128,1362.267036,1285.016825,,,,,,
"Climate damages, fraction of output",0.005392513,0.006891861,0.007888584,0.008633291,0.009222684,0.009679527,0.009994178,0.010137652,0.010160836,0.010100345,0.009954078,0.009806518,0.00969294,0.009616251,0.009572692,0.009557707,0.009567163,0.010853152,0.012738739,0.014883979,0.017263574,0.019948478,0.023041824,0.026616879,0.030710936,,,,,,
"Damages, 2019$",0.727403863,0.879126884,1.011422669,1.222419999,1.505382119,1.866176224,2.309256962,2.812969754,3.324912641,3.858211646,4.391049223,4.883778004,5.391873579,5.937249268,6.532867572,7.187272542,7.905634176,9.824951113,12.69275589,16.23998202,20.52888267,25.68630621,31.74086837,38.08854909,40.72632364,,,,,,
"Abatement, 2019$",0.006095071,0.030577446,0.262696201,0.732663845,1.574570003,2.939188326,5.018664611,8.367314273,11.00352528,13.80839086,17.054687,18.05706523,18.95169487,19.80131454,20.63923997,21.4817625,22.33280392,4.164226716,4.50574865,4.608809763,4.39972169,3.834048889,2.934192346,1.838274997,0.374811615,,,,,,
