
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Actual other abatable GHG forcings w/m2",0.5180000000,0.5363601000,0.5503882649,0.5531304129,0.5552019531,0.5562508626,0.5559383910,0.5539420796,0.5512164977,0.5476115436,0.5430251362,0.5374087136,0.5307748145,0.5232074660,0.5148762768,0.5060555001,0.4971497477,0.4887280393,0.4809986390,0.4750445276,0.4721127005,0.4736507903,0.4813081499,0.4968515333,0.5219150014
"Carbon price (2019 $ per t CO2)",5.7603328701,16.6104290127,56.2049891214,64.4059483797,73.4134965405,83.2462604647,93.8946624624,105.3105412672,117.4198616002,130.1022897239,143.1858440851,156.4361563398,169.5428935090,182.1030308700,193.6003796897,203.3813618948,210.6301382687,211.4189592376,207.6846664080,198.3828309422,182.5039911097,159.3787839788,129.2288641400,93.9479688239,36.0542285827
"Emissions control rate",0.0500000000,0.1000000000,0.2210257964,0.2483042262,0.2780270297,0.3102964005,0.3451604667,0.3719825397,0.3994140152,0.4271890186,0.4549741428,0.4823552875,0.5088189151,0.5337266733,0.5562809938,0.5754790045,0.5900550137,0.5932862883,0.5885512626,0.5737249639,0.5462809983,0.5034972511,0.4430318104,0.3641220659,0.2007461275
"Social cost of carbon $/tCO2",42.5181516238,50.0213548515,58.2098379350,67.0636064784,76.6553846618,86.9786175657,97.9931051043,109.6163918274,121.7434439876,134.2216464371,146.8498400608,159.3709530850,171.4627376858,182.7265928067,192.6739976167,200.7102847652,206.1173947191,208.0548669973,205.6579087507,197.9119308560,183.8061040704,162.6066601338,134.3821265064,100.9435424899,43.4428434114
"Output, net net trill 2019$",134.1579375310,155.6702946841,178.8681579018,204.1782710044,231.6455842887,261.4105116600,293.6276821923,328.4934746622,366.1884871281,406.9237383052,450.9314683016,498.4659194273,549.8039424807,605.2447940017,665.1077052936,729.7240375754,799.4168295028,874.6306602096,955.4221381901,1041.4983848803,1131.6365758345,1222.3701432201,1304.4740223574,1351.0476331212,1247.6143422339
"Short Interest rate, %/yr",0.0000000000,0.0455555785,0.0444969318,0.0436940459,0.0429458186,0.0422298009,0.0415395425,0.0408633288,0.0401983391,0.0395445446,0.0389021551,0.0382715736,0.0376536001,0.0370498508,0.0364636169,0.0359016830,0.0353781856,0.0349307165,0.0345943913,0.0344901535,0.0348829188,0.0363679308,0.0404208719,0.0516016326,0.0039323558
"Population",7752.9000000000,8137.3673508502,8481.1706083346,8786.6181848006,9056.4844687876,9293.7833464428,9501.5984247488,9682.9613941428,9840.7694557889,9977.7332798719,10096.3480265077,10198.8812100628,10287.3724202983,10363.6410248158,10429.2989229587,10485.7661941345,10534.2880955930,10575.9523371072,10611.7059164455,10642.3710627844,10668.6600255173,10691.1885802933,10710.4882164366,10727.0170311103,10741.1693942060
"TFP",5.8400000000,6.2526766595,6.6909818123,7.1562633642,7.6499251325,8.1734283574,8.7282932152,9.3161003335,9.9384923038,10.5971751914,11.2939200404,12.0305643707,12.8090136659,13.6312428495,14.4992977474,15.4152965339,16.3814311601,17.3999687610,18.4732530403,19.6037056297,20.7938274205,22.0461998654,23.3634862481,24.7484329183,26.2038704893
"Output, gross-gross, 2019$",134.8914364654,156.8116782218,180.6686941236,206.5441286782,234.6973501665,265.2954424313,298.5173758416,334.5546661264,373.6355775232,415.9974468512,461.8987838063,511.6196114335,565.4613034022,623.7454767081,686.8107062600,755.0041916143,828.6618140008,908.0615506370,993.4109165708,1084.4803148082,1180.1240460688,1276.9588353774,1365.7088252429,1418.5552928937,1314.4981304120
"Change TFP, %/year",0.0660000000,0.0655068516,0.0650173880,0.0645315817,0.0640494052,0.0635708316,0.0630958338,0.0626243852,0.0621564592,0.0616920296,0.0612310701,0.0607735549,0.0603194582,0.0598687545,0.0594214185,0.0589774249,0.0585367488,0.0580993654,0.0576652502,0.0572343786,0.0568067264,0.0563822697,0.0559609845,0.0555428471,0.0551278340
"Capital stock, 2019$",295.0000000000,346.6668289796,402.6366660128,462.9183201295,528.7667797553,600.6698407911,679.1130241295,764.5818427025,857.7444630644,959.2403216044,1069.7697284366,1190.0942671512,1321.0327698730,1463.4492626745,1618.2229574887,1786.1771733292,1967.9142510522,2163.4353923706,2372.0273008919,2589.3379843957,2803.6321897410,2985.9546908601,3065.5843402600,2861.1740887436,1828.9202768928
