"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
"Change TFP, %/year",0.066,0.065506852,0.065017388,0.064531582,0.064049405,0.063570832,0.063095834,0.062624385,0.062156459,0.06169203,0.06123107,0.060773555,0.060319458,0.059868755,0.059421419,0.058977425,0.058536749,0.058099365,0.05766525,0.057234379,0.056806726,0.05638227,0.055960985,0.055542847,0.055127834,,,,,,
"Capital stock, 2019$",295,346.666829,402.636666,462.9183201,528.7667798,600.6698408,679.1130241,764.5818427,857.7444631,959.2403216,1069.769728,1190.094267,1321.03277,1463.449263,1618.222957,1786.177173,1967.914251,2163.435392,2372.027301,2589.337984,2803.63219,2985.954691,3065.58434,2861.174089,1828.920277,,,,,,
"Savings rate, fraction gross output",0.257118263,0.254298189,0.251766886,0.250191306,0.249034184,0.24820998,0.247641769,0.247351355,0.247277459,0.247391766,0.247667763,0.248078748,0.248595024,0.249178782,0.249773892,0.250284887,0.250533056,0.250286295,0.248828143,0.244773112,0.235135192,0.213095512,0.161134246,0.020639626,0,,,,,,
"Gross investment, 2019$",34.4944558,39.58667403,45.03307904,51.08362818,57.687669,64.88469797,72.71447862,81.25330615,90.55015872,100.6695822,111.681188,123.6588012,136.6785245,150.8141605,166.1265398,182.6388984,200.2803413,218.9080672,237.7359167,254.9308007,266.0875838,260.481591,210.1954383,27.88511785,0,,,,,,
"Y gross-net, 2019$",134.1640326,155.707884,179.1669751,204.5851317,232.1929527,262.1387691,294.58625,329.7070255,367.7083322,408.8061506,453.2360323,501.2527309,553.1292455,609.1545628,669.6286164,734.8512996,805.0986507,880.6739044,961.6278512,1047.583683,1137.240234,1227.09146,1307.963738,1353.148265,1248.014283,,,,,,
"Consumption per capita, 2019$ ",12.85499384,14.26550082,15.78026018,17.42361391,19.20810618,21.14594309,23.25010948,25.53352827,28.00983497,30.69376055,33.60128626,36.74982682,40.15849734,43.84855018,47.84417142,52.17407379,56.8748911,62.00128103,67.63155963,73.90905462,81.13005663,89.9702166,102.1688799,123.3485984,116.1525618,,,,,,
Consumption,99.66348174,116.0836207,133.8350789,153.0946428,173.9579153,196.5258137,220.9132036,247.2401685,275.6383284,306.2541561,339.2502803,374.8071182,413.125418,454.4306335,498.9811655,547.0851392,599.1364882,655.722593,717.6862215,786.5675842,865.548992,961.8885522,1094.278584,1323.162515,1247.614342,,,,,,
"Climate damages, fraction of output",0.005392513,0.00703898,0.008312005,0.009484641,0.010670753,0.011898709,0.013168834,0.014489831,0.015863707,0.017286876,0.018754653,0.020262868,0.021808845,0.023392416,0.025017213,0.026692424,0.028435199,0.030160562,0.031993876,0.034022408,0.036338393,0.039051671,0.042282137,0.046108198,0.050577362,,,,,,
"Damages, 2019$",0.727403863,1.103794213,1.501719041,1.958996959,2.504397441,3.156673303,3.931125867,4.847640629,5.927245337,7.191296269,8.662751507,10.3668805,12.33205791,14.59091391,17.18208981,20.15289201,23.56316326,27.38764626,31.7830654,36.89663192,42.88381182,49.8673758,57.74508691,65.40702781,66.48384787,,,,,,
"Abatement, 2019$",0.006095071,0.037589325,0.29881718,0.406860714,0.547368437,0.728257468,0.958567783,1.213550835,1.519845058,1.882412277,2.304563997,2.786811507,3.325303015,3.909768793,4.520911153,5.127262024,5.681821239,6.04324417,6.205712983,6.085298005,5.60365841,4.721316359,3.489715975,2.100631959,0.399940303,,,,,,
Abatement/0utput,4.54321E-05,0.000241468,0.0016706,0.001992674,0.002362957,0.002785877,0.003264569,0.003694292,0.004150445,0.004625958,0.005110675,0.005590776,0.006048162,0.006459814,0.006797262,0.007026303,0.007107458,0.006909481,0.006495258,0.00584283,0.004951818,0.003862428,0.00267519,0.001554817,0.000320564,,,,,,
